symbol, name, exchange, marketCap, IPOYear, sector, industry, summary
600000,SHANGHAI PUDONG DEVELOPMENT BANK CO.  LTD.,SHA,,,,,http://www.spdb.com.cn
600004,Guangzhou Baiyun International Airport Co. ltd.,SHA,,,,,www.gbiac.net
600005,Wuhan Iron and Steel Company Limited.,SHA,,,,,HTTP://www.wisco.com.cn/
600006,Dongfeng  Automobile  Co. LTD,SHA,,,,,http://www.dfac.com
600007,China World Trade Center Company Ltd.,SHA,,,,,http://www.cwtc.com
600008,BEIJING CAPITAL CO. LTD,SHA,,,,,http://www.capitalwater.cn
600009,Shanghai International Airport Co.  Ltd.,SHA,,,,,www.shairport.com
600010,Inner Mongolia BaoTou Steel Union Co. Ltd.,SHA,,,,,-
600011,Huaneng Power International  INC.,SHA,,,,,www.hpi.com.cn
600012,Anhui Expressway Company Limited,SHA,,,,,www.anhui-expressway.net
600015,HUA XIA BANK CO.  Limited,SHA,,,,,http://www.hxb.com.cn£»http://www.95577.com.cn
600016,CHINA MINSHENG BANK,SHA,,,,,www.cmbc.com.cn
600017,RIZHAO PORT CO. LTD.,SHA,,,,,http://www.rzpcl.com/
600018,Shanghai International Port (Group) Co.  Ltd,SHA,,,,,http://www.portshanghai.com.cn/
600019,Baoshan Iron & Steel Co.  Ltd.,SHA,,,,,http://bg.baosteel.com
600020,Henan Zhongyuan Expressway Company Limited,SHA,,,,,http://www.zygs.com
600021,SHANGHAI ELECTRIC POWER COMPANY LIMITED,SHA,,,,,www.shanghaipower.com
600022,SHANDONG IRON AND STEEL COMPANY LTD,SHA,,,,,www.jigang.com.cn
600023,Zhejiang Zheneng Electric Power Co. Ltd,SHA,,,,,http://www.zzepc.com.cn
600026,CHINA SHIPPING DEVELOPMENT COMPANY LIMITED,SHA,,,,,www.cnshippingdev.com
600027,Huadian Power International Corporation Limited,SHA,,,,,http:\\www.hdpi.com.cn
600028,China Petroleum and Chemical Corporation,SHA,,,,,http://www.sinopec.com
600029,China Southern Airlines Company Limited,SHA,,,,,www.csair.com
600030,CITIC Securities Company Limited,SHA,,,,,cs.ecitic.com
600031,SANY HEAVY INDUSTRY CO. LTD,SHA,,,,,www.sanyhi.com
600033,Fujian Expressway Development Company Limited,SHA,,,,,www.fjgs.com.cn
600035,HUBEI CHUTIAN EXPRESSWAY CO. LTD.,SHA,,,,,www.hbctgs.com
600036,China Merchants Bank Co. Limited,SHA,,,,,www.cmbchina.com
600037,Beijing Gehua CATV Network Co.  LTD.,SHA,,,,,http://www.bgctv.com.cn
600038, AVICOPTER PLC,SHA,,,,,www.hafei.com
600039,SICHUAN ROAD & BRIDGE CO. LTD,SHA,,,,,www.scrbc.com.cn
600048,POLY REAL ESTATE GROUP CO. LTD,SHA,,,,,www.gzpoly.com;www.polycn.com
600050,CHINA UNITED NETWORK COMMUNICATIONS  LIMITED,SHA,,,,,www.chinaunicom-a.com
600051,NINGBO UNITED GROUP CO. LTD.,SHA,,,,,http://www.nug.com.cn
600052,Zhejiang Guangsha Co. Ltd.,SHA,,,,,HTTP://www.gsgf.com
600053,Kunwu Jiuding Investment Holdings CO.  Ltd,SHA,,,,,-
600054,Huangshan Tourism Development Co. Ltd.,SHA,,,,,HTTP://WWW.huangshan.com.cn
600055,China Resources Wandong Medical Equipment Co.  Ltd.,SHA,,,,,HTTP://WWW.wandong.com.cn
600056,CHINA MEHECO CO.  LTD.,SHA,,,,,www.meheco.cn
600057,XIAMEN XIANGYU CO.  LTD.,SHA,,,,,www.xiangyu.cn
600058,MINMETALS DEVELOPMENT CO.  LTD.,SHA,,,,,HTTP://www.minlist.com
600059,ZheJiang GuYueLongShan ShaoXing Wine Co.LTD,SHA,,,,,HTTP://WWW.shaoxingwine.com.cn
600060,HISENSE ELECTRIC CO. LTD.,SHA,,,,,http://www.hisense.com
600061,SDIC Essence (Holdings)Co. Ltd,SHA,,,,,www.sdicessence.com.cn
600062,CHINA RESOURCES DOUBLE£­CRANE PHARMACEUTICAL CO. LTD.,SHA,,,,,www.dcpc.com.cn
600063,ANHUI WANWEI UPDATED HIGH-TECH MATERIAL INDUSTRY COMPANY LIMITED,SHA,,,,,http://www.wwgf.com.cn
600064,NANJING GAOKE COMPANY LIMITED,SHA,,,,,www.600064.com
600066,Zhengzhou Yutong Bus Co. Ltd.,SHA,,,,,http://www.yutong.com
600067,CITYCHAMP DARTONG CO. LTD.,SHA,,,,,HTTP://WWW.gcdt.net
600068,China Gezhouba Group Company Limited,SHA,,,,,http://www.cggc.cn
600069,Henan Yinge Industrial Investment  Co. Ltd.,SHA,,,,,http://www.yinge.com.cn
600070,Zhejiang FuRun Co. LTD,SHA,,,,,HTTP://www.zj-furun.cn
600071,phenix optical company limited,SHA,,,,,http£º//www.phenixoptics.com.cn
600072,CSSC Steel Structure Engineering Co.  Ltd.,SHA,,,,,http://www.jnhi.com
600073,SHANGHAI MALING AQUARIUS CO.LTD,SHA,,,,,www.shanghaimaling.com
600074,JIANGSU PROTRULY VISION TECHNOLOGY GROUP CO. LTD.,SHA,,,,,http://www.protruly.com.cn/
600075,XINJIANG TIANYE CO. LTD.,SHA,,,,,HTTP://WWW.xj-tianye.com
600076,WEIFANG BEIDA JADEBIRD HUAGUANG TECHNOLOGY CO. LTD,SHA,,,,,HTTP://WWW.hbkangxin.com.cn
600077,Sundy Land Investment Co. Ltd.,SHA,,,,,http://www.songdu.com
600078,Jiangsu Chengxing Phosph-Chemical Co. Ltd,SHA,,,,,-
600079,Humanwell Healthcare (Group) Co. Ltd.,SHA,,,,,http://www.humanwell.com.cn
600080,GINWA ENTERPRISE(GRPUP) INC.,SHA,,,,,HTTP://WWW.ginwa.com.cn
600081,DONG FENG ELECTRONIC TECHNOLOGY CO. LITD.,SHA,,,,,HTTP://WWW.DETC.COM.CN
600082,Tianjin Hi-Tech Development Co.  Ltd.,SHA,,,,,www.hitech-develop.com
600083,GUANGDONG BOXIN INVESTING & HOLDINGS CO .LTD,SHA,,,,,www.600083.com
600084,CITIC GUOAN Wine CO. LTD,SHA,,,,,http://www.guoanwine.com
600085,Beijing TongRenTang Co. Ltd,SHA,,,,,http://www.tongrentanggf.com
600086,EASTERN GOLD JADE  COMPANY LIMITED,SHA,,,,,http://www.goldjade.cn
600088,China Television Media Ltd.,SHA,,,,,www.ctv-media.com.cn
600089,TBEA CO. LTD.,SHA,,,,,http://www.tbea.com.cn
600090,xin jiang hops co. ltd,SHA,,,,,www.xjhops.com
600091,BAOTOU TOMORROW TECHNOLOGY CO. LTD,SHA,,,,,http://www.tomotech.com
600093,SICHUAN HEJIA CO.LTD.,SHA,,,,,http://www.hejia.com
600094,GREATTOWN HOLDINGS LTD.,SHA,,,,,http://www.greattown.cn
600095,HARBIN HIGH-TECH(GROUP)C0. LTD.,SHA,,,,,www.hgk-group.com
600096,YUNNAN YUNTIANHUA CO. LTD,SHA,,,,,HTTP://www.yyth.com.cn
600097,SHANGHAI KAICHUANG MARINE INTERNATIONAL CO. LTD.,SHA,,,,,http://www.skmic.sh.cn/
600098,Guangzhou Development Group Incorporated,SHA,,,,,http://www.gdih.cn
600099,LINHAI CO. LTD.,SHA,,,,,WWW.LINHAIGROUP.COM
600100,TSINGHUA TONGFANG CO.  LTD,SHA,,,,,http://www.thtf.com.cn
600101,SICHUAN MINGXING ELECTRIC POWER CO. LTD,SHA,,,,,http://www.mxdl.com.cn
600103,Fujian Qingshan Paper Industry Co. Ltd.,SHA,,,,,http://www.qingshanpaper.com
600104,SAIC Motor Corporation Limited,SHA,,,,,HTTP://www.saicmotor.com
600105,JIANGSU ETERN CO.  LTD.,SHA,,,,,www.yongding.com.cn
600106,CHONGQING ROAD & BRIDGE CO. LTD,SHA,,,,,http://www.cqrb.com.cn
600107,HUBEI  MAILYARD  SHARE  CO.  LTD,SHA,,,,,http://www.mailyard.com.cn
