Symbol,Chinese Name,ShortName,Name,Summary Quote
600000,浦发银行,SPD BANK,SHANGHAI PUDONG DEVELOPMENT BANK CO.  LTD.,http://www.spdb.com.cn
600004,白云机场,baiyunairport,Guangzhou Baiyun International Airport Co. ltd.,www.gbiac.net
600005,武钢股份,WISCO Ltd,Wuhan Iron and Steel Company Limited.,HTTP://www.wisco.com.cn/
600006,东风汽车,DFAC,Dongfeng  Automobile  Co. LTD,http://www.dfac.com
600007,中国国贸,CWTC Co. Ltd.,China World Trade Center Company Ltd.,http://www.cwtc.com
600008,首创股份,BEIJING CAPITAL,BEIJING CAPITAL CO. LTD,http://www.capitalwater.cn
600009,上海机场,SIA,Shanghai International Airport Co.  Ltd.,www.shairport.com
600010,包钢股份,BSU,Inner Mongolia BaoTou Steel Union Co. Ltd.,-
600011,华能国际,HPI,Huaneng Power International  INC.,www.hpi.com.cn
600012,皖通高速,Anhui Expressway,Anhui Expressway Company Limited,www.anhui-expressway.net
600015,华夏银行,HUAXIA BANK,HUA XIA BANK CO.  Limited,http://www.hxb.com.cn；http://www.95577.com.cn
600016,民生银行,CMBC,CHINA MINSHENG BANK,www.cmbc.com.cn
600017,日照港,RIZHAO PORT,RIZHAO PORT CO. LTD.,http://www.rzpcl.com/
600018,上港集团,SIPG,Shanghai International Port (Group) Co.  Ltd,http://www.portshanghai.com.cn/
600019,宝钢股份,Baosteel,Baoshan Iron & Steel Co.  Ltd.,http://bg.baosteel.com
600020,中原高速,Zhongyuan Expressway,Henan Zhongyuan Expressway Company Limited,http://www.zygs.com
600021,上海电力,SEP,SHANGHAI ELECTRIC POWER COMPANY LIMITED,www.shanghaipower.com
600022,山东钢铁,SHANDONG STEEL,SHANDONG IRON AND STEEL COMPANY LTD,www.jigang.com.cn
600023,浙能电力,Zhejiang Energy Electric Power,Zhejiang Zheneng Electric Power Co. Ltd,http://www.zzepc.com.cn
600026,中海发展,CSDC,CHINA SHIPPING DEVELOPMENT COMPANY LIMITED,www.cnshippingdev.com
600027,华电国际,HDPI,Huadian Power International Corporation Limited,http:\\www.hdpi.com.cn
600028,中国石化,Sinopec Corp.,China Petroleum and Chemical Corporation,http://www.sinopec.com
600029,南方航空,CHINA SOUTH AIR,China Southern Airlines Company Limited,www.csair.com
600030,中信证券,CITIC Securities Co.  Ltd.,CITIC Securities Company Limited,cs.ecitic.com
600031,三一重工,SANY,SANY HEAVY INDUSTRY CO. LTD,www.sanyhi.com
600033,福建高速,Fujian Expressway,Fujian Expressway Development Company Limited,www.fjgs.com.cn
600035,楚天高速,ChuTian Expwy,HUBEI CHUTIAN EXPRESSWAY CO. LTD.,www.hbctgs.com
600036,招商银行,CMB,China Merchants Bank Co. Limited,www.cmbchina.com
600037,歌华有线,BGCTV,Beijing Gehua CATV Network Co.  LTD.,http://www.bgctv.com.cn
600038,中直股份,-, AVICOPTER PLC,www.hafei.com
600039,四川路桥,SRBC,SICHUAN ROAD & BRIDGE CO. LTD,www.scrbc.com.cn
600048,保利地产,PRE,POLY REAL ESTATE GROUP CO. LTD,www.gzpoly.com;www.polycn.com
600050,中国联通,China Unicom,CHINA UNITED NETWORK COMMUNICATIONS  LIMITED,www.chinaunicom-a.com
600051,宁波联合,NUG,NINGBO UNITED GROUP CO. LTD.,http://www.nug.com.cn
600052,浙江广厦,ZJGS,Zhejiang Guangsha Co. Ltd.,HTTP://www.gsgf.com
600053,九鼎投资,ZJRE,Kunwu Jiuding Investment Holdings CO.  Ltd,-
600054,黄山旅游,HSTD,Huangshan Tourism Development Co. Ltd.,HTTP://WWW.huangshan.com.cn
600055,华润万东,CR Wandong,China Resources Wandong Medical Equipment Co.  Ltd.,HTTP://WWW.wandong.com.cn
600056,中国医药,CHINA MEHECO,CHINA MEHECO CO.  LTD.,www.meheco.cn
600057,象屿股份,XIANGYU,XIAMEN XIANGYU CO.  LTD.,www.xiangyu.cn
600058,五矿发展,MINLIST,MINMETALS DEVELOPMENT CO.  LTD.,HTTP://www.minlist.com
600059,古越龙山,GYLS,ZheJiang GuYueLongShan ShaoXing Wine Co.LTD,HTTP://WWW.shaoxingwine.com.cn
600060,海信电器,HXDQ,HISENSE ELECTRIC CO. LTD.,http://www.hisense.com
600061,国投安信,SDIC Essence,SDIC Essence (Holdings)Co. Ltd,www.sdicessence.com.cn
600062,华润双鹤,CR Double-Crane,CHINA RESOURCES DOUBLE－CRANE PHARMACEUTICAL CO. LTD.,www.dcpc.com.cn
600063,皖维高新,wwgx,ANHUI WANWEI UPDATED HIGH-TECH MATERIAL INDUSTRY COMPANY LIMITED,http://www.wwgf.com.cn
