Symbol,Name,IPOyear,MarketCap,Negotiable Cap.,Industry
1,PAB,1991/4/3,14308676139,11797404333,J Finance
2,VANKE-A,1991/1/29,9736656832,9717161455,K Real Estate
4,CAU-TECH,1990/12/1,83976684,82903548,C Manufacturing
5,FOUNTAIN,1990/12/10,1058536842,912328931,K Real Estate
6,ZHENYE,1992/4/27,1349995046,1339000579,K Real Estate
7,ZERO-SEVEN,1992/4/13,230965363,205604801,H Hotels & Catering
8,CHSR,1992/5/7,2409432927,1320143889,C Manufacturing
9,CBG,1991/6/25,1592107386,1488794712,S Conglomerates
10,SZHUAXIN,1995/10/27,819854713,407154317,E Construction
11,PRD,1992/3/30,528373849,175831365,K Real Estate
12,CSG,1992/2/28,1312751568,1304061716,C Manufacturing
14,SHAHE INDUSTRY,1992/6/2,201705187,201700249,K Real Estate
16,KONKA GROUP,1992/3/27,1596593800,1198857900,C Manufacturing
17,CBC,1992/3/31,302984965,302967139,C Manufacturing
18,SINO GREAT WALL,1992/6/16,377484679,99374824,C Manufacturing
19,SBSY,1992/10/12,269716984,251915307,C Manufacturing
20,HUAFA,1992/4/28,181165391,181146183,C Manufacturing
21,KAIFA,1994/2/2,1471259363,1469814362,C Manufacturing
22,CHIWAN WHARF,1993/5/5,464868300,464866999,G Transportation
23,UNIVERSE,1993/4/29,138756240,138756240,C Manufacturing
25,TELLUS,1993/6/21,270881600,179294044,F Wholesale & Retail
26,FIYTA,1993/6/3,311119870,311070137,F Wholesale & Retail
27,SEIC,1993/9/3,3964491597,1437524963,D Utilities
28,SINOPHARM ACCORD,1993/8/9,307746343,233261812,F Wholesale & Retail
29,SPG,1993/9/15,891660000,891592500,K Real Estate
30,SUNRISE,1993/9/29,1259095140,561689790,C Manufacturing
31,COFCO PROPERTY,1993/10/8,1813731596,1813722958,K Real Estate
32,SED,1993/10/28,351878445,232863239,F Wholesale & Retail
33,CENTURY PLAZA HOTEL,1994/1/3,329402050,329400349,H Hotels & Catering
34,SHENXIN TAIFENG,1994/5/9,357973531,340054000,S Conglomerates
35,CHINA TIANYING,1994/4/8,619278871,405800801,N Environmental Protection
36,UDC,1994/6/17,1140487712,1123882733,K Real Estate
37,NSRD,1994/7/1,338908150,338891172,D Utilities
38,SZCI,1994/8/8,96227998,37731440,K Real Estate
39,CIMC,1994/4/8,1261475377,1260641226,C Manufacturing
40,BADC,1994/8/8,469593364,464576042,K Real Estate
42,CENTRALCON HOLDING,1994/9/21,665069639,478846963,K Real Estate
43,AVIC REAL ESTATE,1994/9/28,666961416,666780666,K Real Estate
45,STHC,1994/8/15,457021849,405563873,C Manufacturing
46,OCEANWIDE HOLDINGS,1994/9/12,4557311768,4549886929,K Real Estate
48,KONDARL,1994/11/1,390768671,381980118,C Manufacturing
49,DESAYBATTERY,1995/3/20,205243738,205243738,C Manufacturing
50,TIANMA,1995/3/15,1131738475,943086454,C Manufacturing
55,FANGDA GROUP,1996/4/15,420958717,419986675,C Manufacturing
56,WTGJ,1996/7/8,451866604,143055590,K Real Estate
58,SEGCL,1996/12/26,538337692,538266003,L Business Support
59,HUAJIN CO. LTD,1997/1/30,1599442537,1399970996,C Manufacturing
60,NONFEMET,1997/1/23,2212627938,2061800421,C Manufacturing
61,SZAP,1997/1/10,1696964131,1607659546,L Business Support
62,HUAQIANG INDUSTRY,1997/1/30,721316774,666949797,L Business Support
63,ZTE,1997/11/18,3396478001,3388003904,C Manufacturing
65,NORINCO INTERNATIONA,1998/6/5,274371762,253401907,E Construction
66,GREATWALL COMPUTER,1997/6/26,1323593886,1323570126,C Manufacturing
68,HUAKONG SEG,1997/6/11,1006671464,896671464,C Manufacturing
69,OCT HOLDING,1997/9/10,8205681415,3275849646,N Environmental Protection
70,SDGI,2000/5/11,313497373,258611876,C Manufacturing
78,NEPTUNUS,1998/12/18,752513855,730277513,F Wholesale & Retail
88,YANTIAN PORT,1997/7/28,1942200000,1942145797,G Transportation
89,SACL,1998/4/20,2050769509,2050769509,G Transportation
90,TAGEN,1999/7/21,855561097,552530044,E Construction
96,GJNY,2000/7/24,528000000,510848000,F Wholesale & Retail
99,COHC,2000/7/31,606070420,606070420,G Transportation
100,TCL,2004/1/30,12229283042,9009336788,C Manufacturing
150,YIHUA HEALTHCARE,2000/8/7,447804877,324000000,K Real Estate
151,COMPLANT-LTD,2000/9/6,295980000,266543967,F Wholesale & Retail
153,FENGYUAN PHARMACEUTI,2000/9/20,312141230,296645200,C Manufacturing
155,SCC,2000/9/26,470000000,470000000,C Manufacturing
156,WASU,2000/9/6,1433351902,546868435,R Media
157,ZOOMLION CO. LTD.,2000/10/12,6275925164,6265568472,C Manufacturing
158,CSTEX,2000/7/24,1271442278,718568850,C Manufacturing
159,XIIC,2000/9/26,481139294,481081919,F Wholesale & Retail
166,SWHY,2015/1/26,14856744977,3254680459,J Finance
301,CESM,2000/5/29,1218236445,1218236445,D Utilities
333,MIDEA GROUP,2013/9/18,4266987349,2240643599,C Manufacturing
338,WEICHAI POWER,2007/4/30,3027099278,2092169774,C Manufacturing
400,XJEC,1997/4/18,1008327309,737446047,C Manufacturing
401,JIDONG CEMENT,1996/6/14,1347522914,1347116471,C Manufacturing
402,FINANCIAL STREET,1996/6/26,2988929907,2986967435,K Real Estate
403,ZXB&C,1996/6/28,272577599,181756468,C Manufacturing
404,HYCC,1996/6/19,559623953,494293434,C Manufacturing
407,SDSL,1996/7/3,774048768,661449064,C Manufacturing
408,*STJG,1996/6/28,252301500,252300600,F Wholesale & Retail
409,SDGM,1996/6/27,472709345,357589382,B Mining
410,SMTCL,1996/7/18,765470884,739418797,C Manufacturing
411,"INT""L GROUP",1996/7/16,207449946,207314121,F Wholesale & Retail
413,DONGXU OPTOELECTRONI,1996/9/25,3585100525,2019255121,C Manufacturing
