symbol, name, exchange, marketCap, IPOYear, sector, industry, summary
XXII,22nd Century Group Inc,AMEX,1.0148258692E8,,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,AMEX,1.19819209672E9,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,AMEX,1.2914385071E8,,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,Aberdeen Chile Fund Inc.,AMEX,5.603738709E7,,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,AMEX,1.103414716E8,,n/a,n/a,http://www.nasdaq.com/symbol/abe           
FCO,Aberdeen Global Income Fund Inc.,AMEX,6.908080608E7,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,Aberdeen Indonesia Fund Inc.,AMEX,5.615266224E7,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,Aberdeen Israel Fund Inc.,AMEX,7.17078648E7,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
ACU,Acme United Corporation.,AMEX,5.726634109E7,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
AIII,ACRE Realty Investors Inc.,AMEX,2.5446467456E7,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
ATNM,Actinium Pharmaceuticals Inc.,AMEX,9.033751535E7,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
AE,Adams Resources & Energy Inc.,AMEX,1.8928570848E8,,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADK,Adcare Health Systems Inc,AMEX,6.122860436E7,,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
ADK-A,Adcare Health Systems Inc,AMEX,0.0,,n/a,n/a,http://www.nasdaq.com/symbol/adk-a
ACY,AeroCentury Corp.,AMEX,1.36900785213E7,,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
WGA,AG&E Holdings Inc.,AMEX,5076746.8,,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/wga
AIRI,Air Industries Group,AMEX,5.941767786E7,,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AA-,Alcoa Inc.,AMEX,0.0,,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa-
AXU,Alexco Resource Corp,AMEX,2.577749374E7,,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
AAU,Almaden Minerals Ltd.,AMEX,3.88274935E7,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
APT,Alpha Pro Tech Ltd.,AMEX,3.123426088E7,,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
ALTV,Alteva (D/B/A),AMEX,2.733477864E7,,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/altv
AAMC,Altisource Asset Management Corp,AMEX,2.6558664E7,,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
DIT,AMCON Distributing Company,AMEX,5.1112519025E7,,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
ADGE,American DG Energy Inc.,AMEX,2.5344547E7,,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/adge
AFCO,American Farmland Company,AMEX,1.266813525E8,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/afco
ALN,American Lorain Corporation,AMEX,4.43810084E7,,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMS,American Shared Hospital Services,AMEX,1.046008665E7,,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
AMPE,Ampio Pharmaceuticals Inc.,AMEX,1.741943251E8,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,AMEX,3.35443174E7,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb
AXN,Aoxing Pharmaceutical Company Inc.,AMEX,9.51029696E7,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn
AMCO,Armco Metals Holdings Inc.,AMEX,1881331.23,,Consumer Durables,Steel/Iron Ore,http://www.nasdaq.com/symbol/amco
HRT,Arrhythmia Research Technology Inc.,AMEX,1.66812317165E7,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/hrt
AKG,Asanko Gold Inc.,AMEX,3.0140327871E8,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,AMEX,1.338120325E8,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
ASB.WS,Associated Banc-Corp,AMEX,0.0,,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws
AST,Asterias Biotherapeutics Inc.,AMEX,1.8331890195E8,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
AWX,Avalon Holdings Corporation,AMEX,8481428.13,,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
AVL,Avalon Rare Metals Inc.,AMEX,1.4037979046E7,,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/avl
ASM,Avino Silver,AMEX,3.491915855E7,,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,AMEX,9.5472506826E8,,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
BTN,Ballantyne Strong Inc,AMEX,6.132685518E7,,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
BKJ,Bancorp of New Jersey Inc,AMEX,6.8324398709E7,,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,AMEX,9.780173936E7,,n/a,n/a,http://www.nasdaq.com/symbol/bcv
BAA,BANRO CORPORATION,AMEX,4.4882819616E7,,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BHB,Bar Harbor Bankshares Inc.,AMEX,2.09903085E8,,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BRN,Barnwell Industries Inc.,AMEX,1.68647135E7,,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,AMEX,1.003615707473E8,,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
BPMX,BioPharmX Corporation,AMEX,2.353214976E7,2015,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/bpmx
BTX,BioTime Inc.,AMEX,3.1599752616E8,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BTX.WS,BioTime Inc.,AMEX,0.0,,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws
BGI,Birks Group Inc.,AMEX,6155989.511,,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bgi
BZM,BlackRock Maryland Municipal Bond Trust,AMEX,2.99041056E7,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm
MHE,BlackRock Massachusetts Tax-Exempt Trust,AMEX,3.118129672E7,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe
BLE,BlackRock Municipal Income Trust II,AMEX,3.5111749816E8,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,AMEX,3.294578846E7,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
BFY,BlackRock New York Municipal Income Trust II,AMEX,7.19843184E7,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BHV,BlackRock Virginia Municipal Bond Trust,AMEX,2.8287252E7,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BDR,Blonder Tongue Laboratories Inc.,AMEX,2567721.76,,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BRG,Bluerock Residential Growth REIT Inc.,AMEX,2.2664469846E8,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
BRG-A,Bluerock Residential Growth REIT Inc.,AMEX,0.0,,n/a,n/a,http://www.nasdaq.com/symbol/brg-a
BVX,Bovie Medical Corporation,AMEX,5.112519188E7,,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL.A,Bowl America Inc.,AMEX,0.0,,n/a,n/a,http://www.nasdaq.com/symbol/bwl.a
BZC,Breeze-Eastern Corporation,AMEX,1.9600456434E8,,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/bzc
BTI,British American Tobacco p.l.c.,AMEX,1.0892613047946E11,,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti
CANF,Can-Fite Biopharma Ltd,AMEX,2.813788032E7,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
ROX,Castle Brands Inc.,AMEX,2.1284583712E8,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox
CAW,CCA Industries Inc.,AMEX,2.26568133824E7,,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw
CVM,Cel-Sci Corporation,AMEX,5.323858045E7,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm
CVM.WS,Cel-Sci Corporation,AMEX,0.0,,n/a,n/a,http://www.nasdaq.com/symbol/cvm.ws
CEF,Central Fund of Canada Limited,AMEX,2.60030232686E9,,n/a,n/a,http://www.nasdaq.com/symbol/cef
GTU,Central Gold Trust,AMEX,7.3664283E8,,n/a,n/a,http://www.nasdaq.com/symbol/gtu
CET,Central Securities Corporation,AMEX,4.7624917929E8,,n/a,n/a,http://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,AMEX,1.359E7,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu
CCF,Chase Corporation,AMEX,4.0466571979E8,,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf
CQH,Cheniere Energy Partners LP Holdings LLC,AMEX,3.948168E9,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
CQP,Cheniere Energy Partners LP,AMEX,8.4792446763E9,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
LNG,Cheniere Energy Inc.,AMEX,1.18582805872E10,,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,AMEX,2.49745122E7,,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CNR,China Metro-Rural Holdings Limited,AMEX,6.59761268322E7,,Finance,Real Estate,http://www.nasdaq.com/symbol/cnr
